"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
13186,3297,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13187,3297,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13188,3297,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13189,3298,"Patlachique-Tzacualli","PMic","EC","access-way (alley, street, avenue, etc.)","street or avenue","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13190,3298,"Miccaotli-Tlamimilolpa","McTl","MC","access-way (alley, street, avenue, etc.)","street or avenue","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13191,3298,"Xolalpan-Metepec","XlMe","LC","access-way (alley, street, avenue, etc.)","street or avenue","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13192,3298,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13193,3299,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13194,3299,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13195,3299,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13196,3299,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13197,3300,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13198,3300,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13199,3300,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13200,3300,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13201,3301,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13202,3301,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13203,3301,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13204,3301,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13205,3302,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13206,3302,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","residential workshop",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13207,3302,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","residential workshop",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13208,3302,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13209,3303,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13210,3303,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13211,3303,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13212,3303,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
